id, type, tree size
288, English-EWT-udpipe, 13
289, English-EWT-udpipe, 13
290, English-EWT-udpipe, 22
291, English-EWT-udpipe, 25
292, English-EWT-udpipe, 26
293, English-EWT-udpipe, 23
294, English-EWT-udpipe, 40
295, English-EWT-udpipe, 12
296, English-EWT-udpipe, 35
297, English-EWT-udpipe, 16
298, English-EWT-udpipe, 40
299, English-EWT-udpipe, 30
300, English-EWT-udpipe, 16
301, English-EWT-udpipe, 49
302, English-EWT-udpipe, 17
303, English-EWT-udpipe, 19
304, English-EWT-udpipe, 36
305, English-EWT-udpipe, 24
306, English-EWT-udpipe, 41
307, English-EWT-udpipe, 12
308, English-EWT-udpipe, 44
309, English-EWT-udpipe, 16
310, English-EWT-udpipe, 14
311, English-EWT-udpipe, 21
312, English-EWT-udpipe, 13
313, English-EWT-udpipe, 59
314, English-EWT-udpipe, 72
315, English-EWT-udpipe, 20
316, English-EWT-udpipe, 23
317, English-EWT-udpipe, 14
318, English-EWT-udpipe, 36
319, English-EWT-udpipe, 12
320, English-EWT-udpipe, 16
321, English-EWT-udpipe, 38
322, English-EWT-udpipe, 20
323, English-EWT-udpipe, 36
324, English-EWT-udpipe, 13
325, English-EWT-udpipe, 15
326, English-EWT-udpipe, 45
327, English-EWT-udpipe, 22
328, English-EWT-udpipe, 84
329, English-EWT-udpipe, 9
330, English-EWT-udpipe, 16
331, English-EWT-udpipe, 51
332, English-EWT-udpipe, 11
333, English-EWT-udpipe, 46
334, English-EWT-udpipe, 43
335, English-EWT-udpipe, 9
336, English-EWT-udpipe, 31
337, English-EWT-udpipe, 29
338, English-EWT-udpipe, 29
339, English-EWT-udpipe, 13
340, English-EWT-udpipe, 39
341, English-EWT-udpipe, 94
342, English-EWT-udpipe, 12
343, English-EWT-udpipe, 6
344, English-EWT-udpipe, 21
345, English-EWT-udpipe, 11
346, English-EWT-udpipe, 34
347, English-EWT-udpipe, 14
348, English-EWT-udpipe, 78
349, English-EWT-udpipe, 16
350, English-EWT-udpipe, 20
351, English-EWT-udpipe, 18
352, English-EWT-udpipe, 20
353, English-EWT-udpipe, 9
354, English-EWT-udpipe, 17
355, English-EWT-udpipe, 14
356, English-EWT-udpipe, 25
357, English-EWT-udpipe, 14
358, English-EWT-udpipe, 65
359, English-EWT-udpipe, 59
360, English-EWT-udpipe, 85
361, English-EWT-udpipe, 30
362, English-EWT-udpipe, 6
363, English-EWT-udpipe, 45
364, English-EWT-udpipe, 14
365, English-EWT-udpipe, 22
366, English-EWT-udpipe, 41
367, English-EWT-udpipe, 10
368, English-EWT-udpipe, 18
369, English-EWT-udpipe, 20
370, English-EWT-udpipe, 10
371, English-EWT-udpipe, 26
372, English-EWT-udpipe, 18
373, English-EWT-udpipe, 12
374, English-EWT-udpipe, 19
375, English-EWT-udpipe, 21
376, English-EWT-udpipe, 61
377, English-EWT-udpipe, 19
378, English-EWT-udpipe, 14
379, English-EWT-udpipe, 70
380, English-EWT-udpipe, 24
381, English-EWT-udpipe, 21
382, English-EWT-udpipe, 17
383, English-EWT-udpipe, 31
384, English-EWT-udpipe, 17
385, English-EWT-udpipe, 25
386, English-EWT-udpipe, 50
387, English-EWT-udpipe, 26
388, English-EWT-udpipe, 41
389, English-EWT-udpipe, 18
390, English-EWT-udpipe, 35
391, English-EWT-udpipe, 26
392, English-EWT-udpipe, 11
393, English-EWT-udpipe, 14
394, English-EWT-udpipe, 15
395, English-EWT-udpipe, 54
396, English-EWT-udpipe, 10
397, English-EWT-udpipe, 9
398, English-EWT-udpipe, 15
399, English-EWT-udpipe, 25
400, English-EWT-spacy, 19
401, English-EWT-spacy, 19
402, English-EWT-spacy, 39
403, English-EWT-spacy, 16
404, English-EWT-spacy, 14
405, English-EWT-spacy, 15
406, English-EWT-spacy, 19
407, English-EWT-spacy, 9
408, English-EWT-spacy, 16
409, English-EWT-spacy, 31
410, English-EWT-spacy, 13
411, English-EWT-spacy, 9
412, English-EWT-spacy, 19
413, English-EWT-spacy, 20
414, English-EWT-spacy, 14
415, English-EWT-spacy, 7
416, English-EWT-spacy, 30
417, English-EWT-spacy, 23
418, English-EWT-spacy, 18
419, English-EWT-spacy, 24
420, English-EWT-spacy, 16
421, English-EWT-spacy, 21
422, English-EWT-spacy, 13
423, English-EWT-spacy, 7
424, English-EWT-spacy, 17
425, English-EWT-spacy, 50
426, English-EWT-spacy, 20
427, English-EWT-spacy, 40
428, English-EWT-spacy, 14
429, English-EWT-spacy, 11
430, English-EWT-spacy, 11
431, English-EWT-spacy, 41
432, English-EWT-spacy, 54
433, English-EWT-spacy, 22
434, English-EWT-spacy, 32
435, English-EWT-spacy, 36
436, English-EWT-spacy, 17
437, English-EWT-spacy, 9
438, English-EWT-spacy, 7
439, English-EWT-spacy, 25
440, English-EWT-spacy, 63
441, English-EWT-spacy, 35
442, English-EWT-spacy, 19
443, English-EWT-spacy, 9
444, English-EWT-spacy, 47
445, English-EWT-spacy, 38
446, English-EWT-spacy, 7
447, English-EWT-spacy, 12
448, English-EWT-spacy, 7
449, English-EWT-spacy, 12
450, English-EWT-spacy, 16
451, English-EWT-spacy, 15
452, English-EWT-spacy, 8
453, English-EWT-spacy, 65
454, English-EWT-spacy, 16
455, English-EWT-spacy, 15
456, English-EWT-spacy, 20
457, English-EWT-spacy, 28
458, English-EWT-spacy, 9
459, English-EWT-spacy, 6
460, English-EWT-spacy, 12
461, English-EWT-spacy, 16
462, English-EWT-spacy, 22
463, English-EWT-spacy, 12
464, English-EWT-spacy, 9
465, English-EWT-spacy, 23
466, English-EWT-spacy, 13
467, English-EWT-spacy, 33
468, English-EWT-spacy, 25
469, English-EWT-spacy, 10
470, English-EWT-spacy, 10
471, English-EWT-spacy, 28
472, English-EWT-spacy, 7
473, English-EWT-spacy, 14
474, English-EWT-spacy, 7
475, English-EWT-spacy, 45
476, English-EWT-spacy, 16
477, English-EWT-spacy, 19
478, English-EWT-spacy, 13
479, English-EWT-spacy, 8
480, English-EWT-spacy, 17
481, English-EWT-spacy, 39
482, English-EWT-spacy, 8
483, English-EWT-spacy, 29
484, English-EWT-spacy, 13
485, English-EWT-spacy, 11
486, English-EWT-spacy, 10
487, English-EWT-spacy, 35
488, English-EWT-spacy, 11
489, English-EWT-spacy, 21
490, English-EWT-spacy, 44
491, English-EWT-spacy, 9
492, English-EWT-spacy, 10
493, English-EWT-spacy, 13
494, English-EWT-spacy, 14
495, English-EWT-spacy, 16
496, English-EWT-spacy, 39
497, English-EWT-spacy, 18
498, English-EWT-spacy, 17
499, English-EWT-spacy, 35
500, English-EWT-spacy, 15
501, English-EWT-spacy, 28
502, English-EWT-spacy, 9
503, English-EWT-spacy, 31
504, English-EWT-spacy, 10
505, English-EWT-spacy, 17
506, English-EWT-spacy, 26
507, English-EWT-spacy, 6
508, English-EWT-spacy, 6
509, English-EWT-spacy, 14
510, English-EWT-spacy, 37
511, English-EWT-spacy, 11
512, English-EWT-spacy, 29
513, English-EWT-spacy, 7
514, English-EWT-spacy, 14
515, English-EWT-spacy, 19
516, English-EWT-spacy, 7
517, English-EWT-spacy, 20
518, English-EWT-spacy, 14
519, English-EWT-spacy, 15
520, English-EWT-spacy, 22
521, English-EWT-spacy, 15
522, English-EWT-spacy, 12
523, English-EWT-spacy, 11
524, English-EWT-spacy, 39
525, English-EWT-spacy, 32
526, English-EWT-spacy, 19
527, English-EWT-spacy, 26
528, English-EWT-spacy, 13
529, English-EWT-spacy, 24
530, English-EWT-spacy, 14
531, English-EWT-spacy, 16
532, English-EWT-spacy, 11
533, English-EWT-spacy, 12
534, English-EWT-spacy, 111
535, English-EWT-spacy, 10
536, English-EWT-spacy, 13
537, English-EWT-spacy, 15
538, English-EWT-spacy, 6
539, English-EWT-spacy, 10
540, English-EWT-spacy, 12
541, English-EWT-spacy, 20
542, English-EWT-spacy, 17
543, English-EWT-spacy, 23
544, English-EWT-spacy, 17
545, English-EWT-spacy, 23
546, English-EWT-spacy, 17
547, English-EWT-spacy, 6
548, English-EWT-spacy, 32
549, English-EWT-spacy, 63
550, English-EWT-spacy, 16
551, English-EWT-spacy, 22
552, English-EWT-spacy, 14
553, English-EWT-spacy, 8
554, English-EWT-spacy, 19
555, English-EWT-spacy, 28
556, English-EWT-spacy, 9
557, English-EWT-spacy, 17
558, English-EWT-spacy, 25
559, English-EWT-spacy, 34
560, English-EWT-spacy, 27
561, English-EWT-spacy, 38
562, English-EWT-spacy, 18
563, English-EWT-spacy, 19
564, English-EWT-spacy, 28
565, English-EWT-spacy, 12
566, English-EWT-spacy, 6
567, English-EWT-spacy, 13
568, English-EWT-spacy, 17
569, English-EWT-spacy, 15
570, English-EWT-spacy, 12
571, English-EWT-spacy, 23
572, English-EWT-spacy, 10
573, English-EWT-spacy, 42
574, English-EWT-spacy, 48
575, English-EWT-spacy, 19
576, English-EWT-spacy, 35
577, English-EWT-spacy, 11
578, English-EWT-spacy, 21
579, English-EWT-spacy, 9
580, English-EWT-spacy, 27
581, English-EWT-spacy, 15
582, English-EWT-spacy, 10
583, English-EWT-spacy, 7
584, English-EWT-spacy, 7
585, English-EWT-spacy, 22
586, English-EWT-spacy, 18
587, English-EWT-spacy, 8
588, English-EWT-spacy, 17
589, English-EWT-spacy, 14
590, English-EWT-spacy, 26
591, English-EWT-spacy, 18
592, English-EWT-spacy, 28
593, English-EWT-spacy, 7
594, English-EWT-spacy, 10
595, English-EWT-spacy, 36
596, English-EWT-spacy, 23
597, English-EWT-spacy, 20
598, English-EWT-spacy, 9
599, English-EWT-spacy, 23
600, Rand-ChatGPT, 16
601, Rand-ChatGPT, 13
602, Rand-ChatGPT, 22
603, Rand-ChatGPT, 21
604, Rand-ChatGPT, 16
605, Rand-ChatGPT, 14
606, Rand-ChatGPT, 28
607, Rand-ChatGPT, 34
608, Rand-ChatGPT, 29
609, Rand-ChatGPT, 7
610, Rand-ChatGPT, 34
611, Rand-ChatGPT, 24
612, Rand-ChatGPT, 9
613, Rand-ChatGPT, 25
614, Rand-ChatGPT, 16
615, Rand-ChatGPT, 21
616, Rand-ChatGPT, 24
617, Rand-ChatGPT, 25
618, Rand-ChatGPT, 25
619, Rand-ChatGPT, 18
620, Rand-ChatGPT, 11
621, Rand-ChatGPT, 29
622, Rand-ChatGPT, 23
623, Rand-ChatGPT, 32
624, Rand-ChatGPT, 41
625, Rand-ChatGPT, 26
626, Rand-ChatGPT, 8
627, Rand-ChatGPT, 12
628, Rand-ChatGPT, 21
629, Rand-ChatGPT, 16
630, Rand-ChatGPT, 39
631, Rand-ChatGPT, 21
632, Rand-ChatGPT, 15
633, Rand-ChatGPT, 16
634, Rand-ChatGPT, 27
635, Rand-ChatGPT, 23
636, Rand-ChatGPT, 28
637, Rand-ChatGPT, 8
638, Rand-ChatGPT, 18
639, Rand-ChatGPT, 19
640, Rand-ChatGPT, 10
641, Rand-ChatGPT, 12
642, Rand-ChatGPT, 27
643, Rand-ChatGPT, 27
644, Rand-ChatGPT, 19
645, Rand-ChatGPT, 18
646, Rand-ChatGPT, 12
647, Rand-ChatGPT, 17
648, Rand-ChatGPT, 15
649, Rand-ChatGPT, 39
650, Rand-ChatGPT, 20
651, Rand-ChatGPT, 26
652, Rand-ChatGPT, 9
653, Rand-ChatGPT, 18
654, Rand-ChatGPT, 21
655, Rand-ChatGPT, 15
656, Rand-ChatGPT, 9
657, Rand-ChatGPT, 30
658, Rand-ChatGPT, 21
659, Rand-ChatGPT, 30
660, Rand-ChatGPT, 12
661, Rand-ChatGPT, 10
662, Rand-ChatGPT, 25
663, Rand-ChatGPT, 11
664, Rand-ChatGPT, 35
665, Rand-ChatGPT, 6
666, Rand-ChatGPT, 20
667, Rand-ChatGPT, 14
668, Rand-ChatGPT, 13
669, Rand-ChatGPT, 31
670, Rand-ChatGPT, 20
671, Rand-ChatGPT, 22
672, Rand-ChatGPT, 28
673, Rand-ChatGPT, 8
674, Rand-ChatGPT, 10
675, Rand-ChatGPT, 41
676, Rand-ChatGPT, 21
677, Rand-ChatGPT, 15
678, Rand-ChatGPT, 12
679, Rand-ChatGPT, 34
680, Rand-ChatGPT, 34
681, Rand-ChatGPT, 14
682, Rand-ChatGPT, 25
683, Rand-ChatGPT, 23
684, Rand-ChatGPT, 9
685, Rand-ChatGPT, 9
686, Rand-ChatGPT, 7
687, Rand-ChatGPT, 7
688, Rand-ChatGPT, 26
689, Rand-ChatGPT, 30
690, Rand-ChatGPT, 22
691, Rand-ChatGPT, 14
692, Rand-ChatGPT, 27
693, Rand-ChatGPT, 13
694, Rand-ChatGPT, 7
695, Rand-ChatGPT, 33
696, Rand-ChatGPT, 27
697, Rand-ChatGPT, 15
698, Rand-ChatGPT, 21
699, Rand-ChatGPT, 23
700, Rand-ChatGPT, 17
701, Rand-ChatGPT, 20
702, Rand-ChatGPT, 15
703, Rand-ChatGPT, 26
704, Rand-ChatGPT, 29
705, Rand-ChatGPT, 7
706, Rand-ChatGPT, 15
707, Rand-ChatGPT, 8
708, Rand-ChatGPT, 23
709, Rand-ChatGPT, 18
710, Rand-ChatGPT, 39
711, Rand-ChatGPT, 9
712, Rand-ChatGPT, 26
713, Rand-ChatGPT, 29
714, Rand-ChatGPT, 45
715, Rand-ChatGPT, 19
716, Rand-ChatGPT, 15
717, Rand-ChatGPT, 32
718, Rand-ChatGPT, 13
719, Rand-ChatGPT, 18
720, Rand-ChatGPT, 12
721, Rand-ChatGPT, 31
722, Rand-ChatGPT, 23
723, Rand-ChatGPT, 24
724, Rand-ChatGPT, 19
725, Rand-ChatGPT, 6
726, Rand-ChatGPT, 20
727, Rand-ChatGPT, 15
728, Rand-ChatGPT, 19
729, Rand-ChatGPT, 23
730, Rand-ChatGPT, 12
731, Rand-ChatGPT, 24
732, Rand-ChatGPT, 15
733, Rand-ChatGPT, 28
734, Rand-ChatGPT, 23
735, Rand-ChatGPT, 12
736, Rand-ChatGPT, 21
737, Rand-ChatGPT, 24
738, Rand-ChatGPT, 12
739, Rand-ChatGPT, 18
740, Rand-ChatGPT, 28
741, Rand-ChatGPT, 24
742, Rand-ChatGPT, 18
743, Rand-ChatGPT, 15
744, Rand-ChatGPT, 35
745, Rand-ChatGPT, 18
746, Rand-ChatGPT, 14
747, Rand-ChatGPT, 34
748, Rand-ChatGPT, 23
749, Rand-ChatGPT, 16
750, Rand-ChatGPT, 8
751, Rand-ChatGPT, 18
752, Rand-ChatGPT, 14
753, Rand-ChatGPT, 16
754, Rand-ChatGPT, 13
755, Rand-ChatGPT, 30
756, Rand-ChatGPT, 14
757, Rand-ChatGPT, 10
758, Rand-ChatGPT, 18
759, Rand-ChatGPT, 20
760, Rand-ChatGPT, 22
761, Rand-ChatGPT, 24
762, Rand-ChatGPT, 10
763, Rand-ChatGPT, 17
764, Rand-ChatGPT, 35
765, Rand-ChatGPT, 21
766, Rand-ChatGPT, 31
767, Rand-ChatGPT, 21
768, Rand-ChatGPT, 18
769, Rand-ChatGPT, 17
770, Rand-ChatGPT, 18
771, Rand-ChatGPT, 13
772, Rand-ChatGPT, 18
773, Rand-ChatGPT, 32
774, Rand-ChatGPT, 30
775, Rand-ChatGPT, 7
776, Rand-ChatGPT, 19
777, Rand-ChatGPT, 7
778, Rand-ChatGPT, 7
779, Rand-ChatGPT, 23
780, Rand-ChatGPT, 20
781, Rand-ChatGPT, 28
782, Rand-ChatGPT, 35
783, Rand-ChatGPT, 23
784, Rand-ChatGPT, 16
785, Rand-ChatGPT, 9
786, Rand-ChatGPT, 17
787, Rand-ChatGPT, 6
788, Rand-ChatGPT, 26
789, Rand-ChatGPT, 17
790, Rand-ChatGPT, 22
791, Rand-ChatGPT, 20
792, Rand-ChatGPT, 6
793, Rand-ChatGPT, 14
794, Rand-ChatGPT, 26
795, Rand-ChatGPT, 18
796, Rand-ChatGPT, 32
797, Rand-ChatGPT, 17
798, Rand-ChatGPT, 13
799, Rand-ChatGPT, 16
