id, type, tree size
315, Rand-English-EWT-CF, 56
316, Rand-English-EWT-CF, 12
317, Rand-English-EWT-CF, 15
318, Rand-English-EWT-CF, 11
319, Rand-English-EWT-CF, 110
320, Rand-English-EWT-CF, 11
321, Rand-English-EWT-CF, 30
322, Rand-English-EWT-CF, 8
323, Rand-English-EWT-CF, 63
324, Rand-English-EWT-CF, 6
325, Rand-English-EWT-CF, 8
326, Rand-English-EWT-CF, 18
327, Rand-English-EWT-CF, 21
328, Rand-English-EWT-CF, 14
329, Rand-English-EWT-CF, 7
330, Rand-English-EWT-CF, 34
331, Rand-English-EWT-CF, 9
332, Rand-English-EWT-CF, 15
333, Rand-English-EWT-CF, 7
334, Rand-English-EWT-CF, 9
335, Rand-English-EWT-CF, 27
336, Rand-English-EWT-CF, 65
337, Rand-English-EWT-CF, 14
338, Rand-English-EWT-CF, 9
339, Rand-English-EWT-CF, 47
340, Rand-English-EWT-CF, 8
341, Rand-English-EWT-CF, 8
342, Rand-English-EWT-CF, 12
343, Rand-English-EWT-CF, 14
344, Rand-English-EWT-CF, 17
345, Rand-English-EWT-CF, 10
346, Rand-English-EWT-CF, 57
347, Rand-English-EWT-CF, 7
348, Rand-English-EWT-CF, 18
349, Rand-English-EWT-CF, 41
350, Rand-English-EWT-CF, 32
351, Rand-English-EWT-CF, 22
352, Rand-English-EWT-CF, 6
353, Rand-English-EWT-CF, 9
354, Rand-English-EWT-CF, 6
355, Rand-English-EWT-CF, 68
356, Rand-English-EWT-CF, 73
357, Rand-English-EWT-CF, 10
358, Rand-English-EWT-CF, 7
359, Rand-English-EWT-CF, 33
360, Rand-English-EWT-CF, 66
361, Rand-English-EWT-CF, 11
362, Rand-English-EWT-CF, 17
363, Rand-English-EWT-CF, 13
364, Rand-English-EWT-CF, 25
365, Rand-English-EWT-CF, 6
366, Rand-English-EWT-CF, 8
367, Rand-English-EWT-CF, 32
368, Rand-English-EWT-CF, 89
369, Rand-English-EWT-CF, 11
370, Rand-English-EWT-CF, 87
371, Rand-English-EWT-CF, 11
372, Rand-English-EWT-CF, 8
373, Rand-English-EWT-CF, 9
374, Rand-English-EWT-CF, 7
375, Rand-English-EWT-CF, 32
376, Rand-English-EWT-CF, 17
377, Rand-English-EWT-CF, 60
378, Rand-English-EWT-CF, 50
379, Rand-English-EWT-CF, 20
380, Rand-English-EWT-CF, 20
381, Rand-English-EWT-CF, 20
382, Rand-English-EWT-CF, 13
383, Rand-English-EWT-CF, 9
384, Rand-English-EWT-CF, 51
385, Rand-English-EWT-CF, 16
386, Rand-English-EWT-CF, 6
387, Rand-English-EWT-CF, 8
388, Rand-English-EWT-CF, 6
389, Rand-English-EWT-CF, 17
390, Rand-English-EWT-CF, 16
391, Rand-English-EWT-CF, 188
392, Rand-English-EWT-CF, 21
393, Rand-English-EWT-CF, 27
394, Rand-English-EWT-CF, 138
395, Rand-English-EWT-CF, 15
396, Rand-English-EWT-CF, 8
397, Rand-English-EWT-CF, 13
398, Rand-English-EWT-CF, 10
399, Rand-English-EWT-CF, 7
400, Rand-ChatGPT, 6
401, Rand-ChatGPT, 24
402, Rand-ChatGPT, 17
403, Rand-ChatGPT, 6
404, Rand-ChatGPT, 21
405, Rand-ChatGPT, 23
406, Rand-ChatGPT, 38
407, Rand-ChatGPT, 16
408, Rand-ChatGPT, 25
409, Rand-ChatGPT, 13
410, Rand-ChatGPT, 18
411, Rand-ChatGPT, 6
412, Rand-ChatGPT, 42
413, Rand-ChatGPT, 7
414, Rand-ChatGPT, 21
415, Rand-ChatGPT, 31
416, Rand-ChatGPT, 27
417, Rand-ChatGPT, 12
418, Rand-ChatGPT, 17
419, Rand-ChatGPT, 12
420, Rand-ChatGPT, 19
421, Rand-ChatGPT, 26
422, Rand-ChatGPT, 25
423, Rand-ChatGPT, 16
424, Rand-ChatGPT, 22
425, Rand-ChatGPT, 13
426, Rand-ChatGPT, 8
427, Rand-ChatGPT, 11
428, Rand-ChatGPT, 18
429, Rand-ChatGPT, 15
430, Rand-ChatGPT, 6
431, Rand-ChatGPT, 21
432, Rand-ChatGPT, 22
433, Rand-ChatGPT, 17
434, Rand-ChatGPT, 14
435, Rand-ChatGPT, 22
436, Rand-ChatGPT, 9
437, Rand-ChatGPT, 20
438, Rand-ChatGPT, 21
439, Rand-ChatGPT, 10
440, Rand-ChatGPT, 18
441, Rand-ChatGPT, 9
442, Rand-ChatGPT, 22
443, Rand-ChatGPT, 8
444, Rand-ChatGPT, 32
445, Rand-ChatGPT, 34
446, Rand-ChatGPT, 13
447, Rand-ChatGPT, 29
448, Rand-ChatGPT, 8
449, Rand-ChatGPT, 17
450, Rand-ChatGPT, 16
451, Rand-ChatGPT, 16
452, Rand-ChatGPT, 34
453, Rand-ChatGPT, 16
454, Rand-ChatGPT, 19
455, Rand-ChatGPT, 22
456, Rand-ChatGPT, 29
457, Rand-ChatGPT, 13
458, Rand-ChatGPT, 25
459, Rand-ChatGPT, 25
460, Rand-ChatGPT, 16
461, Rand-ChatGPT, 13
462, Rand-ChatGPT, 20
463, Rand-ChatGPT, 20
464, Rand-ChatGPT, 20
465, Rand-ChatGPT, 33
466, Rand-ChatGPT, 13
467, Rand-ChatGPT, 6
468, Rand-ChatGPT, 13
469, Rand-ChatGPT, 22
470, Rand-ChatGPT, 7
471, Rand-ChatGPT, 14
472, Rand-ChatGPT, 10
473, Rand-ChatGPT, 31
474, Rand-ChatGPT, 26
475, Rand-ChatGPT, 17
476, Rand-ChatGPT, 14
477, Rand-ChatGPT, 34
478, Rand-ChatGPT, 20
479, Rand-ChatGPT, 16
480, Rand-ChatGPT, 20
481, Rand-ChatGPT, 14
482, Rand-ChatGPT, 15
483, Rand-ChatGPT, 18
484, Rand-ChatGPT, 33
485, Rand-ChatGPT, 35
486, Rand-ChatGPT, 31
487, Rand-ChatGPT, 19
488, Rand-ChatGPT, 12
489, Rand-ChatGPT, 20
490, Rand-ChatGPT, 22
491, Rand-ChatGPT, 23
492, Rand-ChatGPT, 25
493, Rand-ChatGPT, 6
494, Rand-ChatGPT, 17
495, Rand-ChatGPT, 13
496, Rand-ChatGPT, 33
497, Rand-ChatGPT, 25
498, Rand-ChatGPT, 18
499, Rand-ChatGPT, 13
500, Rand-ChatGPT, 28
501, Rand-ChatGPT, 18
502, Rand-ChatGPT, 25
503, Rand-ChatGPT, 14
504, Rand-ChatGPT, 8
505, Rand-ChatGPT, 18
506, Rand-ChatGPT, 20
507, Rand-ChatGPT, 37
508, Rand-ChatGPT, 6
509, Rand-ChatGPT, 16
510, Rand-ChatGPT, 17
511, Rand-ChatGPT, 20
512, Rand-ChatGPT, 25
513, Rand-ChatGPT, 12
514, Rand-ChatGPT, 20
515, Rand-ChatGPT, 13
516, Rand-ChatGPT, 40
517, Rand-ChatGPT, 22
518, Rand-ChatGPT, 22
519, Rand-ChatGPT, 21
520, Rand-ChatGPT, 23
521, Rand-ChatGPT, 30
522, Rand-ChatGPT, 31
523, Rand-ChatGPT, 19
524, Rand-ChatGPT, 8
525, Rand-ChatGPT, 20
526, Rand-ChatGPT, 26
527, Rand-ChatGPT, 9
528, Rand-ChatGPT, 28
529, Rand-ChatGPT, 13
530, Rand-ChatGPT, 17
531, Rand-ChatGPT, 26
532, Rand-ChatGPT, 11
533, Rand-ChatGPT, 28
534, Rand-ChatGPT, 24
535, Rand-ChatGPT, 22
536, Rand-ChatGPT, 20
537, Rand-ChatGPT, 19
538, Rand-ChatGPT, 21
539, Rand-ChatGPT, 33
540, Rand-ChatGPT, 20
541, Rand-ChatGPT, 25
542, Rand-ChatGPT, 21
543, Rand-ChatGPT, 35
544, Rand-ChatGPT, 21
545, Rand-ChatGPT, 20
546, Rand-ChatGPT, 27
547, Rand-ChatGPT, 13
548, Rand-ChatGPT, 18
549, Rand-ChatGPT, 26
550, Rand-ChatGPT, 21
551, Rand-ChatGPT, 21
552, Rand-ChatGPT, 25
553, Rand-ChatGPT, 16
554, Rand-ChatGPT, 19
555, Rand-ChatGPT, 37
556, Rand-ChatGPT, 27
557, Rand-ChatGPT, 6
558, Rand-ChatGPT, 22
559, Rand-ChatGPT, 34
560, Rand-ChatGPT, 16
561, Rand-ChatGPT, 8
562, Rand-ChatGPT, 18
563, Rand-ChatGPT, 22
564, Rand-ChatGPT, 27
565, Rand-ChatGPT, 24
566, Rand-ChatGPT, 21
567, Rand-ChatGPT, 24
568, Rand-ChatGPT, 26
569, Rand-ChatGPT, 17
570, Rand-ChatGPT, 6
571, Rand-ChatGPT, 30
572, Rand-ChatGPT, 26
573, Rand-ChatGPT, 29
574, Rand-ChatGPT, 32
575, Rand-ChatGPT, 44
576, Rand-ChatGPT, 7
577, Rand-ChatGPT, 6
578, Rand-ChatGPT, 10
579, Rand-ChatGPT, 8
580, Rand-ChatGPT, 26
581, Rand-ChatGPT, 13
582, Rand-ChatGPT, 20
583, Rand-ChatGPT, 37
584, Rand-ChatGPT, 14
585, Rand-ChatGPT, 12
586, Rand-ChatGPT, 27
587, Rand-ChatGPT, 15
588, Rand-ChatGPT, 16
589, Rand-ChatGPT, 19
590, Rand-ChatGPT, 12
591, Rand-ChatGPT, 13
592, Rand-ChatGPT, 13
593, Rand-ChatGPT, 30
594, Rand-ChatGPT, 32
595, Rand-ChatGPT, 18
596, Rand-ChatGPT, 12
597, Rand-ChatGPT, 14
598, Rand-ChatGPT, 16
599, Rand-ChatGPT, 39
