id, type, tree size
290, French-GSD, 32
291, French-GSD, 11
292, French-GSD, 26
293, French-GSD, 30
294, French-GSD, 27
295, French-GSD, 52
296, French-GSD, 66
297, French-GSD, 30
298, French-GSD, 51
299, French-GSD, 53
300, French-GSD, 38
301, French-GSD, 37
302, French-GSD, 16
303, French-GSD, 29
304, French-GSD, 54
305, French-GSD, 20
306, French-GSD, 29
307, French-GSD, 10
308, French-GSD, 46
309, French-GSD, 29
310, French-GSD, 32
311, French-GSD, 14
312, French-GSD, 33
313, French-GSD, 12
314, French-GSD, 51
315, French-GSD, 44
316, French-GSD, 42
317, French-GSD, 30
318, French-GSD, 24
319, French-GSD, 82
320, French-GSD, 11
321, French-GSD, 58
322, French-GSD, 60
323, French-GSD, 35
324, French-GSD, 17
325, French-GSD, 26
326, French-GSD, 30
327, French-GSD, 39
328, French-GSD, 63
329, French-GSD, 35
330, French-GSD, 38
331, French-GSD, 24
332, French-GSD, 30
333, French-GSD, 28
334, French-GSD, 20
335, French-GSD, 28
336, French-GSD, 28
337, French-GSD, 67
338, French-GSD, 12
339, French-GSD, 10
340, French-GSD, 25
341, French-GSD, 32
342, French-GSD, 46
343, French-GSD, 28
344, French-GSD, 16
345, French-GSD, 30
346, French-GSD, 37
347, French-GSD, 6
348, French-GSD, 17
349, French-GSD, 25
350, French-GSD, 56
351, French-GSD, 9
352, French-GSD, 22
353, French-GSD, 16
354, French-GSD, 51
355, French-GSD, 38
356, French-GSD, 29
357, French-GSD, 47
358, French-GSD, 20
359, French-GSD, 19
360, French-GSD, 20
361, French-GSD, 51
362, French-GSD, 66
363, French-GSD, 6
364, French-GSD, 45
365, French-GSD, 44
366, French-GSD, 34
367, French-GSD, 54
368, French-GSD, 26
369, French-GSD, 44
370, French-GSD, 40
371, French-GSD, 25
372, French-GSD, 19
373, French-GSD, 44
374, French-GSD, 49
375, French-GSD, 11
376, French-GSD, 66
377, French-GSD, 14
378, French-GSD, 17
379, French-GSD, 41
380, French-GSD, 17
381, French-GSD, 17
382, French-GSD, 15
383, French-GSD, 74
384, French-GSD, 69
385, French-GSD, 27
386, French-GSD, 33
387, French-GSD, 17
388, French-GSD, 69
389, French-GSD, 24
390, French-GSD, 14
391, French-GSD, 27
392, French-GSD, 29
393, French-GSD, 8
394, French-GSD, 25
395, French-GSD, 47
396, French-GSD, 38
397, French-GSD, 14
398, French-GSD, 49
399, French-GSD, 28
400, Japanese-BCCWJ, 8
401, Japanese-BCCWJ, 8
402, Japanese-BCCWJ, 37
403, Japanese-BCCWJ, 17
404, Japanese-BCCWJ, 42
405, Japanese-BCCWJ, 6
406, Japanese-BCCWJ, 27
407, Japanese-BCCWJ, 14
408, Japanese-BCCWJ, 7
409, Japanese-BCCWJ, 12
410, Japanese-BCCWJ, 18
411, Japanese-BCCWJ, 86
412, Japanese-BCCWJ, 16
413, Japanese-BCCWJ, 8
414, Japanese-BCCWJ, 27
415, Japanese-BCCWJ, 11
416, Japanese-BCCWJ, 12
417, Japanese-BCCWJ, 6
418, Japanese-BCCWJ, 13
419, Japanese-BCCWJ, 9
420, Japanese-BCCWJ, 23
421, Japanese-BCCWJ, 41
422, Japanese-BCCWJ, 17
423, Japanese-BCCWJ, 6
424, Japanese-BCCWJ, 9
425, Japanese-BCCWJ, 13
426, Japanese-BCCWJ, 24
427, Japanese-BCCWJ, 24
428, Japanese-BCCWJ, 23
429, Japanese-BCCWJ, 25
430, Japanese-BCCWJ, 51
431, Japanese-BCCWJ, 24
432, Japanese-BCCWJ, 38
433, Japanese-BCCWJ, 18
434, Japanese-BCCWJ, 16
435, Japanese-BCCWJ, 26
436, Japanese-BCCWJ, 65
437, Japanese-BCCWJ, 20
438, Japanese-BCCWJ, 13
439, Japanese-BCCWJ, 14
440, Japanese-BCCWJ, 11
441, Japanese-BCCWJ, 8
442, Japanese-BCCWJ, 26
443, Japanese-BCCWJ, 26
444, Japanese-BCCWJ, 18
445, Japanese-BCCWJ, 15
446, Japanese-BCCWJ, 14
447, Japanese-BCCWJ, 18
448, Japanese-BCCWJ, 21
449, Japanese-BCCWJ, 9
450, Japanese-BCCWJ, 17
451, Japanese-BCCWJ, 13
452, Japanese-BCCWJ, 15
453, Japanese-BCCWJ, 17
454, Japanese-BCCWJ, 6
455, Japanese-BCCWJ, 72
456, Japanese-BCCWJ, 27
457, Japanese-BCCWJ, 25
458, Japanese-BCCWJ, 16
459, Japanese-BCCWJ, 12
460, Japanese-BCCWJ, 7
461, Japanese-BCCWJ, 7
462, Japanese-BCCWJ, 34
463, Japanese-BCCWJ, 16
464, Japanese-BCCWJ, 29
465, Japanese-BCCWJ, 25
466, Japanese-BCCWJ, 11
467, Japanese-BCCWJ, 35
468, Japanese-BCCWJ, 30
469, Japanese-BCCWJ, 54
470, Japanese-BCCWJ, 9
471, Japanese-BCCWJ, 33
472, Japanese-BCCWJ, 13
473, Japanese-BCCWJ, 34
474, Japanese-BCCWJ, 54
475, Japanese-BCCWJ, 10
476, Japanese-BCCWJ, 15
477, Japanese-BCCWJ, 51
478, Japanese-BCCWJ, 10
479, Japanese-BCCWJ, 14
480, Japanese-BCCWJ, 32
481, Japanese-BCCWJ, 11
482, Japanese-BCCWJ, 13
483, Japanese-BCCWJ, 21
484, Japanese-BCCWJ, 6
485, Japanese-BCCWJ, 12
486, Japanese-BCCWJ, 29
487, Japanese-BCCWJ, 13
488, Japanese-BCCWJ, 7
489, Japanese-BCCWJ, 7
490, Japanese-BCCWJ, 17
491, Japanese-BCCWJ, 24
492, Japanese-BCCWJ, 11
493, Japanese-BCCWJ, 12
494, Japanese-BCCWJ, 15
495, Japanese-BCCWJ, 39
496, Japanese-BCCWJ, 6
497, Japanese-BCCWJ, 40
498, Japanese-BCCWJ, 7
499, Japanese-BCCWJ, 8
500, Japanese-BCCWJ, 12
501, Japanese-BCCWJ, 13
502, Japanese-BCCWJ, 13
503, Japanese-BCCWJ, 19
504, Japanese-BCCWJ, 26
505, Japanese-BCCWJ, 8
506, Japanese-BCCWJ, 17
507, Japanese-BCCWJ, 29
508, Japanese-BCCWJ, 9
509, Japanese-BCCWJ, 16
510, Japanese-BCCWJ, 8
511, Japanese-BCCWJ, 29
512, Japanese-BCCWJ, 42
513, Japanese-BCCWJ, 13
514, Japanese-BCCWJ, 20
515, Japanese-BCCWJ, 23
516, Japanese-BCCWJ, 95
517, Japanese-BCCWJ, 21
518, Japanese-BCCWJ, 42
519, Japanese-BCCWJ, 45
520, Japanese-BCCWJ, 31
521, Japanese-BCCWJ, 28
522, Japanese-BCCWJ, 18
523, Japanese-BCCWJ, 6
524, Japanese-BCCWJ, 25
525, Japanese-BCCWJ, 11
526, Japanese-BCCWJ, 10
527, Japanese-BCCWJ, 8
528, Japanese-BCCWJ, 14
529, Japanese-BCCWJ, 49
530, Japanese-BCCWJ, 12
531, Japanese-BCCWJ, 7
532, Japanese-BCCWJ, 28
533, Japanese-BCCWJ, 16
534, Japanese-BCCWJ, 13
535, Japanese-BCCWJ, 15
536, Japanese-BCCWJ, 25
537, Japanese-BCCWJ, 39
538, Japanese-BCCWJ, 41
539, Japanese-BCCWJ, 7
540, Japanese-BCCWJ, 22
541, Japanese-BCCWJ, 12
542, Japanese-BCCWJ, 31
543, Japanese-BCCWJ, 28
544, Japanese-BCCWJ, 12
545, Japanese-BCCWJ, 24
546, Japanese-BCCWJ, 75
547, Japanese-BCCWJ, 10
548, Japanese-BCCWJ, 26
549, Japanese-BCCWJ, 12
550, Japanese-BCCWJ, 13
551, Japanese-BCCWJ, 21
552, Japanese-BCCWJ, 13
553, Japanese-BCCWJ, 15
554, Japanese-BCCWJ, 19
555, Japanese-BCCWJ, 25
556, Japanese-BCCWJ, 16
557, Japanese-BCCWJ, 46
558, Japanese-BCCWJ, 10
559, Japanese-BCCWJ, 8
560, Japanese-BCCWJ, 30
561, Japanese-BCCWJ, 7
562, Japanese-BCCWJ, 102
563, Japanese-BCCWJ, 13
564, Japanese-BCCWJ, 22
565, Japanese-BCCWJ, 44
566, Japanese-BCCWJ, 25
567, Japanese-BCCWJ, 17
568, Japanese-BCCWJ, 12
569, Japanese-BCCWJ, 7
570, Japanese-BCCWJ, 41
571, Japanese-BCCWJ, 9
572, Japanese-BCCWJ, 27
573, Japanese-BCCWJ, 48
574, Japanese-BCCWJ, 58
575, Japanese-BCCWJ, 29
576, Japanese-BCCWJ, 19
577, Japanese-BCCWJ, 80
578, Japanese-BCCWJ, 28
579, Japanese-BCCWJ, 10
580, Japanese-BCCWJ, 12
581, Japanese-BCCWJ, 19
582, Japanese-BCCWJ, 8
583, Japanese-BCCWJ, 22
584, Japanese-BCCWJ, 24
585, Japanese-BCCWJ, 6
586, Japanese-BCCWJ, 23
587, Japanese-BCCWJ, 22
588, Japanese-BCCWJ, 60
589, Japanese-BCCWJ, 16
590, Japanese-BCCWJ, 10
591, Japanese-BCCWJ, 16
592, Japanese-BCCWJ, 8
593, Japanese-BCCWJ, 14
594, Japanese-BCCWJ, 15
595, Japanese-BCCWJ, 32
596, Japanese-BCCWJ, 23
597, Japanese-BCCWJ, 6
598, Japanese-BCCWJ, 25
599, Japanese-BCCWJ, 39
600, Korean-Kaist, 7
601, Korean-Kaist, 15
602, Korean-Kaist, 14
603, Korean-Kaist, 12
604, Korean-Kaist, 14
605, Korean-Kaist, 14
606, Korean-Kaist, 6
607, Korean-Kaist, 10
608, Korean-Kaist, 20
609, Korean-Kaist, 13
610, Korean-Kaist, 22
611, Korean-Kaist, 11
612, Korean-Kaist, 14
613, Korean-Kaist, 8
614, Korean-Kaist, 16
615, Korean-Kaist, 10
616, Korean-Kaist, 15
617, Korean-Kaist, 10
618, Korean-Kaist, 22
619, Korean-Kaist, 16
620, Korean-Kaist, 15
621, Korean-Kaist, 15
622, Korean-Kaist, 21
623, Korean-Kaist, 10
624, Korean-Kaist, 6
625, Korean-Kaist, 7
626, Korean-Kaist, 7
627, Korean-Kaist, 22
628, Korean-Kaist, 8
629, Korean-Kaist, 8
630, Korean-Kaist, 11
631, Korean-Kaist, 11
632, Korean-Kaist, 11
633, Korean-Kaist, 6
634, Korean-Kaist, 6
635, Korean-Kaist, 6
636, Korean-Kaist, 11
637, Korean-Kaist, 17
638, Korean-Kaist, 18
639, Korean-Kaist, 11
640, Korean-Kaist, 10
641, Korean-Kaist, 17
642, Korean-Kaist, 10
643, Korean-Kaist, 10
644, Korean-Kaist, 15
645, Korean-Kaist, 13
646, Korean-Kaist, 10
647, Korean-Kaist, 11
648, Korean-Kaist, 15
649, Korean-Kaist, 7
650, Korean-Kaist, 8
651, Korean-Kaist, 10
652, Korean-Kaist, 8
653, Korean-Kaist, 10
654, Korean-Kaist, 10
655, Korean-Kaist, 20
656, Korean-Kaist, 9
657, Korean-Kaist, 7
658, Korean-Kaist, 11
659, Korean-Kaist, 13
660, Korean-Kaist, 17
661, Korean-Kaist, 9
662, Korean-Kaist, 10
663, Korean-Kaist, 19
664, Korean-Kaist, 10
665, Korean-Kaist, 19
666, Korean-Kaist, 12
667, Korean-Kaist, 11
668, Korean-Kaist, 18
669, Korean-Kaist, 21
670, Korean-Kaist, 18
671, Korean-Kaist, 7
672, Korean-Kaist, 11
673, Korean-Kaist, 16
674, Korean-Kaist, 25
675, Korean-Kaist, 6
676, Korean-Kaist, 10
677, Korean-Kaist, 17
678, Korean-Kaist, 15
679, Korean-Kaist, 17
680, Korean-Kaist, 13
681, Korean-Kaist, 14
682, Korean-Kaist, 8
683, Korean-Kaist, 21
684, Korean-Kaist, 13
685, Korean-Kaist, 19
686, Korean-Kaist, 6
687, Korean-Kaist, 10
688, Korean-Kaist, 15
689, Korean-Kaist, 21
690, Korean-Kaist, 22
691, Korean-Kaist, 18
692, Korean-Kaist, 18
693, Korean-Kaist, 11
694, Korean-Kaist, 20
695, Korean-Kaist, 17
696, Korean-Kaist, 11
697, Korean-Kaist, 9
698, Korean-Kaist, 21
699, Korean-Kaist, 11
700, Korean-Kaist, 12
701, Korean-Kaist, 14
702, Korean-Kaist, 8
703, Korean-Kaist, 15
704, Korean-Kaist, 15
705, Korean-Kaist, 17
706, Korean-Kaist, 15
707, Korean-Kaist, 18
708, Korean-Kaist, 11
709, Korean-Kaist, 11
710, Korean-Kaist, 17
711, Korean-Kaist, 15
712, Korean-Kaist, 6
713, Korean-Kaist, 20
714, Korean-Kaist, 22
715, Korean-Kaist, 8
716, Korean-Kaist, 15
717, Korean-Kaist, 6
718, Korean-Kaist, 12
719, Korean-Kaist, 16
720, Korean-Kaist, 8
721, Korean-Kaist, 21
722, Korean-Kaist, 12
723, Korean-Kaist, 10
724, Korean-Kaist, 21
725, Korean-Kaist, 14
726, Korean-Kaist, 21
727, Korean-Kaist, 14
728, Korean-Kaist, 19
729, Korean-Kaist, 10
730, Korean-Kaist, 13
731, Korean-Kaist, 19
732, Korean-Kaist, 15
733, Korean-Kaist, 17
734, Korean-Kaist, 19
735, Korean-Kaist, 8
736, Korean-Kaist, 22
737, Korean-Kaist, 10
738, Korean-Kaist, 8
739, Korean-Kaist, 23
740, Korean-Kaist, 16
741, Korean-Kaist, 12
742, Korean-Kaist, 20
743, Korean-Kaist, 22
744, Korean-Kaist, 7
745, Korean-Kaist, 20
746, Korean-Kaist, 13
747, Korean-Kaist, 21
748, Korean-Kaist, 19
749, Korean-Kaist, 6
750, Korean-Kaist, 14
751, Korean-Kaist, 16
752, Korean-Kaist, 15
753, Korean-Kaist, 9
754, Korean-Kaist, 17
755, Korean-Kaist, 14
756, Korean-Kaist, 8
757, Korean-Kaist, 12
758, Korean-Kaist, 10
759, Korean-Kaist, 7
760, Korean-Kaist, 10
761, Korean-Kaist, 17
762, Korean-Kaist, 19
763, Korean-Kaist, 19
764, Korean-Kaist, 13
765, Korean-Kaist, 13
766, Korean-Kaist, 20
767, Korean-Kaist, 16
768, Korean-Kaist, 18
769, Korean-Kaist, 11
770, Korean-Kaist, 11
771, Korean-Kaist, 12
772, Korean-Kaist, 19
773, Korean-Kaist, 13
774, Korean-Kaist, 8
775, Korean-Kaist, 21
776, Korean-Kaist, 16
777, Korean-Kaist, 7
778, Korean-Kaist, 17
779, Korean-Kaist, 11
780, Korean-Kaist, 9
781, Korean-Kaist, 18
782, Korean-Kaist, 9
783, Korean-Kaist, 15
784, Korean-Kaist, 10
785, Korean-Kaist, 10
786, Korean-Kaist, 6
787, Korean-Kaist, 19
788, Korean-Kaist, 11
789, Korean-Kaist, 20
790, Korean-Kaist, 7
791, Korean-Kaist, 18
792, Korean-Kaist, 6
793, Korean-Kaist, 8
794, Korean-Kaist, 9
795, Korean-Kaist, 15
796, Korean-Kaist, 10
797, Korean-Kaist, 16
798, Korean-Kaist, 11
799, Korean-Kaist, 14
